cf_id,contact_id,category_id,subcategory_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date
147,4661,cat1,subcat1,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,2/13/2020,3/1/2021
1175,2288,cat1,subcat1,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,6/20/2020,1/30/2021
873,2067,cat1,subcat1,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,11/29/2020,6/11/2021
2568,5989,cat1,subcat1,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,5/5/2020,5/30/2021
1211,3307,cat1,subcat1,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,1/29/2021,2/13/2021
990,3489,cat1,subcat1,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,3/23/2021,12/6/2021
2228,4404,cat1,subcat1,Alexander-Williams,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,4/17/2021,7/8/2021
509,1867,cat1,subcat1,Mcknight-Freeman,Upgradable scalable methodology,8300,6543,canceled,82,US,USD,8/13/2020,4/22/2021
966,4840,cat1,subcat1,Huff LLC,Face-to-face clear-thinking Local Area Network,121500,119830,failed,2179,US,USD,4/10/2021,10/1/2021
2765,5565,cat1,subcat1,Ho-Harris,Versatile cohesive encoding,7300,717,failed,10,US,USD,12/1/2020,9/28/2021
524,5472,cat1,subcat1,Ramsey and Sons,Grass-roots contextually-based algorithm,3800,1954,failed,49,US,USD,11/23/2021,2/5/2022
2991,4136,cat1,subcat1,Martin-Marshall,Configurable demand-driven matrix,9600,6401,failed,108,IT,EUR,12/19/2020,10/6/2021
2049,1340,cat1,subcat1,Rose-Silva,Intuitive static portal,3300,14643,successful,190,US,USD,1/30/2021,6/25/2021
553,4593,cat1,subcat1,Hensley Ltd,Versatile cohesive open system,199000,142823,failed,3483,US,USD,7/27/2021,11/21/2021
1559,4272,cat1,subcat1,Baker Ltd,Progressive intangible flexibility,6300,14199,successful,189,US,USD,4/18/2021,12/22/2021
2201,3033,cat1,subcat1,Davis and Sons,Innovative human-resource migration,188200,159405,failed,5497,US,USD,5/1/2021,8/28/2021
1003,5799,cat1,subcat1,Jones-Riddle,Self-enabling real-time definition,147800,15723,failed,162,US,USD,10/19/2020,7/20/2021
343,6074,cat1,subcat1,Perry and Sons,Configurable static help-desk,3100,9889,successful,194,GB,GBP,3/4/2021,1/1/2022
3153,2653,cat1,subcat1,Long-Greene,Future-proofed heuristic encryption,2400,12310,successful,173,GB,GBP,7/27/2020,8/21/2021
37,3035,cat1,subcat1,Landry Inc,Synergistic cohesive adapter,29600,77021,successful,1572,GB,GBP,6/19/2021,6/24/2021
1067,1640,cat1,subcat1,Henson PLC,Universal contextually-based knowledgebase,56800,173437,successful,2443,US,USD,7/24/2021,8/8/2021
3019,3274,cat1,subcat1,Ramirez LLC,Multi-tiered maximized orchestration,5900,6608,successful,78,US,USD,4/5/2021,6/12/2021
2654,5200,cat1,subcat1,"Thomas, Welch and Santana",Assimilated exuding toolset,9800,7120,failed,77,US,USD,1/13/2021,5/5/2021
76,3259,cat1,subcat1,"Parker, Haley and Foster",Adaptive local task-force,2700,9967,successful,144,US,USD,6/25/2020,5/27/2021
2313,6020,cat1,subcat1,Williams-Santos,Open-source analyzing monitoring,9400,6852,failed,156,CA,CAD,1/15/2021,4/8/2021
349,4722,cat1,subcat1,Brown-George,Cross-platform tertiary array,100,5,failed,1,GB,GBP,4/20/2021,6/30/2021
766,5019,cat1,subcat1,"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600,180667,successful,2230,US,USD,8/29/2020,8/5/2021
427,1553,cat1,subcat1,"Martin, Lee and Armstrong",Open-architected incremental ability,1600,11108,successful,154,GB,GBP,11/18/2020,8/5/2021
2931,2213,cat1,subcat1,Vargas-Cox,Vision-oriented local contingency,98600,62174,canceled,723,US,USD,5/6/2021,6/22/2021
2467,5103,cat1,subcat1,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400,49879,failed,504,AU,AUD,2/7/2021,6/11/2021
1814,4796,cat1,subcat1,Davis Ltd,Synchronized motivating solution,1400,14511,successful,363,US,USD,10/11/2020,4/5/2021
2499,4407,cat1,subcat1,"Stafford, Hess and Raymond",Optional web-enabled extranet,2100,540,failed,6,US,USD,9/23/2021,1/18/2022
3098,3599,cat1,subcat1,"Harris, Medina and Mitchell",Enhanced regional flexibility,5200,1583,failed,19,US,USD,1/2/2021,5/11/2021
2978,5815,cat1,subcat1,"Miller, Glenn and Adams",Distributed actuating project,4700,11174,successful,110,US,USD,3/22/2021,6/9/2021
1387,2794,cat1,subcat1,Williams and Sons,Profound composite core,2400,8558,successful,158,US,USD,6/29/2021,10/21/2021
1439,2545,cat1,subcat1,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000,2778,failed,35,US,USD,2/16/2021,1/17/2022
2948,5140,cat1,subcat1,"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800,7797,successful,300,US,USD,11/23/2021,1/14/2022
2734,5678,cat1,subcat1,Estrada Group,Multi-lateral uniform collaboration,163600,126628,failed,1229,US,USD,11/8/2020,1/22/2021
2599,4140,cat1,subcat1,Wright-Bryant,Reverse-engineered client-server extranet,19800,153338,successful,1460,AU,AUD,6/20/2020,5/23/2021
1447,1321,cat1,subcat1,Brown-Oliver,Synchronized cohesive encoding,8700,1577,failed,15,US,USD,11/23/2021,12/6/2021
1437,4861,cat1,subcat1,"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500,11969,successful,114,US,USD,9/16/2020,7/10/2021
3209,4532,cat1,subcat1,"Harris, Russell and Mitchell",User-centric cohesive policy,3600,10657,successful,266,US,USD,1/21/2021,11/2/2021
1755,1377,cat1,subcat1,Gonzalez-White,Open-architected disintermediate budgetary management,2400,8117,successful,114,US,USD,12/21/2020,10/27/2021
1432,2712,cat1,subcat1,Johnson Group,Vision-oriented interactive solution,7000,5177,failed,67,US,USD,4/22/2021,1/8/2022
2986,3684,cat1,subcat1,Manning-Hamilton,Vision-oriented scalable definition,97300,153216,successful,2043,US,USD,12/29/2020,5/30/2021
1788,4939,cat1,subcat1,"Hernandez, Norton and Kelley",Expanded eco-centric policy,111100,62819,canceled,1122,US,USD,12/30/2020,8/18/2021
1621,3765,cat2,subcat2,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,1/25/2021,5/25/2021
2156,4941,cat2,subcat2,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,10/21/2021,1/17/2022
2502,6202,cat2,subcat2,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,1/8/2021,10/15/2021
3122,5911,cat2,subcat2,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,3/17/2021,7/8/2021
1482,3604,cat2,subcat2,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,5/23/2021,9/23/2021
2389,2851,cat2,subcat2,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,1/25/2021,1/30/2022
